mode,ingredients,actual_value,alchemy_level,fortify_alchemy_level,alchemist_rank,physician,benefactor,poisoner,purity,seeker_of_shadows,concentrated_poison,caco_settings,alchemy_plus_settings,alchemist_perk_multiplier,ingredient_details,potion_form_id,potion_cost_override,crafted_effects,ingredient_selection_order
AP,"Bear Claws, Bee",27,100,0,0,0,0,0,0,0,0,"{""AlchemyIngredientInitMultiplier"":""4"",""AlchemySkillFactor"":""1.5"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""0"",""DamageMagickaDuration"":""0"",""DamageStaminaDuration"":""0"",""DisableAllPotionHandling"":""0"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""0"",""RestoreHealthDuration"":""0"",""RestoreMagickaDuration"":""0"",""RestoreStaminaDuration"":""0""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":false},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":2.0,""durationThreshold"":10.0,""enabled"":true,""magnitudeMult"":2.0,""magnitudeThreshold"":10.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect."",""Skyrim.esm|0x0003EB15"":{""magnitudeMult"":10.0,""magnitudeThreshold"":50.0},""Skyrim.esm|0x0003EB3D"":{""durationMult"":10.0,""durationThreshold"":20.0}}}}",1,"Bear Claws [form=0x0006BC02, count=1]; Bee [form=0x000A9195, count=1]",0xFF00089E,0,index=0|form_id=0x0003EB16|magnitude=32|duration=0|area=0|base_cost=0.600000024|flags=0x00200A00,selection=1|form_id=0x0006BC02|name=B;selection=2|form_id=0x000A9195|name=B
AP,"Berit's Ashes, Bone Meal",251,100,0,0,0,0,0,0,0,0,"{""AlchemyIngredientInitMultiplier"":""4"",""AlchemySkillFactor"":""1.5"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""0"",""DamageMagickaDuration"":""0"",""DamageStaminaDuration"":""0"",""DisableAllPotionHandling"":""0"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""0"",""RestoreHealthDuration"":""0"",""RestoreMagickaDuration"":""0"",""RestoreStaminaDuration"":""0""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":false},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":2.0,""durationThreshold"":10.0,""enabled"":true,""magnitudeMult"":2.0,""magnitudeThreshold"":10.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect."",""Skyrim.esm|0x0003EB15"":{""magnitudeMult"":10.0,""magnitudeThreshold"":50.0},""Skyrim.esm|0x0003EB3D"":{""durationMult"":10.0,""durationThreshold"":20.0}}}}",1,"Berit's Ashes [form=0x000705B7, count=1]; Bone Meal [form=0x00034CDD, count=1]",0xFF00089F,0,index=0|form_id=0x0003EAEA|magnitude=20|duration=60|area=0|base_cost=0.5|flags=0x00201002;index=1|form_id=0x0003EB25|magnitude=32|duration=60|area=0|base_cost=0.25|flags=0x00200802;index=2|form_id=0x0003A2C6|magnitude=20|duration=0|area=0|base_cost=1.79999995|flags=0x00200805;index=3|form_id=0x00073F23|magnitude=12|duration=10|area=0|base_cost=1.60000002|flags=0x00200807,selection=1|form_id=0x000705B7|name=B;selection=2|form_id=0x00034CDD|name=B
AP,"Luna Moth Wing, Vampire Dust",525,100,0,0,0,0,0,0,0,0,"{""AlchemyIngredientInitMultiplier"":""4"",""AlchemySkillFactor"":""1.5"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""0"",""DamageMagickaDuration"":""0"",""DamageStaminaDuration"":""0"",""DisableAllPotionHandling"":""0"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""0"",""RestoreHealthDuration"":""0"",""RestoreMagickaDuration"":""0"",""RestoreStaminaDuration"":""0""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":false},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":2.0,""durationThreshold"":10.0,""enabled"":true,""magnitudeMult"":2.0,""magnitudeThreshold"":10.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect."",""Skyrim.esm|0x0003EB15"":{""magnitudeMult"":10.0,""magnitudeThreshold"":50.0},""Skyrim.esm|0x0003EB3D"":{""durationMult"":10.0,""durationThreshold"":20.0}}}}",1,"Luna Moth Wing [form=0x000727DF, count=1]; Vampire Dust [form=0x0003AD76, count=1]",0xFF0008AC,0,index=0|form_id=0x0003EB3D|magnitude=0|duration=30|area=0|base_cost=100|flags=0x00401C02;index=1|form_id=0x0003EB06|magnitude=32|duration=300|area=0|base_cost=0.100000001|flags=0x00200802,selection=1|form_id=0x000727DF|name=L;selection=2|form_id=0x0003AD76|name=V
AP,"Blisterwort, Wheat",21,100,0,0,0,0,0,0,0,0,"{""AlchemyIngredientInitMultiplier"":""4"",""AlchemySkillFactor"":""1.5"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""0"",""DamageMagickaDuration"":""0"",""DamageStaminaDuration"":""0"",""DisableAllPotionHandling"":""0"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""0"",""RestoreHealthDuration"":""0"",""RestoreMagickaDuration"":""0"",""RestoreStaminaDuration"":""0""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":false},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":2.0,""durationThreshold"":10.0,""enabled"":true,""magnitudeMult"":2.0,""magnitudeThreshold"":10.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect."",""Skyrim.esm|0x0003EB15"":{""magnitudeMult"":10.0,""magnitudeThreshold"":50.0},""Skyrim.esm|0x0003EB3D"":{""durationMult"":10.0,""durationThreshold"":20.0}}}}",1,"Blisterwort [form=0x0004DA25, count=1]; Wheat [form=0x0004B0BA, count=1]",0xFF0008AD,0,index=0|form_id=0x0003EB15|magnitude=30|duration=0|area=0|base_cost=0.5|flags=0x00200A00,selection=1|form_id=0x0004DA25|name=B;selection=2|form_id=0x0004B0BA|name=W
AP,"Briar Heart, Canis Root",611,51,0,3,0,0,0,0,0,0,"{""AlchemyIngredientInitMultiplier"":""5"",""AlchemySkillFactor"":""2"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""0"",""DamageMagickaDuration"":""0"",""DamageStaminaDuration"":""0"",""DisableAllPotionHandling"":""0"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""0"",""RestoreHealthDuration"":""0"",""RestoreMagickaDuration"":""0"",""RestoreStaminaDuration"":""0""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":false},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":2.0,""durationThreshold"":10.0,""enabled"":true,""magnitudeMult"":2.0,""magnitudeThreshold"":10.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect."",""Skyrim.esm|0x0003EB15"":{""magnitudeMult"":10.0,""magnitudeThreshold"":50.0},""Skyrim.esm|0x0003EB3D"":{""durationMult"":10.0,""durationThreshold"":20.0}}}}",1.60000002,"Briar Heart [form=0x0003AD61, count=1]; Canis Root [form=0x0006ABCB, count=1]",0xFF0008B0,3,index=0|form_id=0x00073F30|magnitude=10|duration=12|area=0|base_cost=500|flags=0x00400C03,selection=1|form_id=0x0003AD61|name=B;selection=2|form_id=0x0006ABCB|name=C
AP,"Blue Butterfly Wing, Blue Mountain Flower",730,51,0,3,0,0,0,0,0,0,"{""AlchemyIngredientInitMultiplier"":""5"",""AlchemySkillFactor"":""2"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""0"",""DamageMagickaDuration"":""0"",""DamageStaminaDuration"":""0"",""DisableAllPotionHandling"":""0"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""0"",""RestoreHealthDuration"":""0"",""RestoreMagickaDuration"":""0"",""RestoreStaminaDuration"":""0""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":false},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":2.0,""durationThreshold"":10.0,""enabled"":true,""magnitudeMult"":2.0,""magnitudeThreshold"":10.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect."",""Skyrim.esm|0x0003EB15"":{""magnitudeMult"":10.0,""magnitudeThreshold"":50.0},""Skyrim.esm|0x0003EB3D"":{""durationMult"":10.0,""durationThreshold"":20.0}}}}",1.60000002,"Blue Butterfly Wing [form=0x000727DE, count=1]; Blue Mountain Flower [form=0x00077E1C, count=1]",0xFF0008B5,3,index=0|form_id=0x00073F2B|magnitude=100|duration=60|area=0|base_cost=0.5|flags=0x00400807;index=1|form_id=0x0003EB25|magnitude=60|duration=60|area=0|base_cost=0.25|flags=0x00200802,selection=1|form_id=0x000727DE|name=B;selection=2|form_id=0x00077E1C|name=B
AP,"Canis Root, Imp Stool",611,51,0,3,0,0,0,0,0,0,"{""AlchemyIngredientInitMultiplier"":""5"",""AlchemySkillFactor"":""2"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""0"",""DamageMagickaDuration"":""0"",""DamageStaminaDuration"":""0"",""DisableAllPotionHandling"":""0"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""0"",""RestoreHealthDuration"":""0"",""RestoreMagickaDuration"":""0"",""RestoreStaminaDuration"":""0""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":false},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":2.0,""durationThreshold"":10.0,""enabled"":true,""magnitudeMult"":2.0,""magnitudeThreshold"":10.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect."",""Skyrim.esm|0x0003EB15"":{""magnitudeMult"":10.0,""magnitudeThreshold"":50.0},""Skyrim.esm|0x0003EB3D"":{""durationMult"":10.0,""durationThreshold"":20.0}}}}",1.60000002,"Canis Root [form=0x0006ABCB, count=1]; Imp Stool [form=0x0004DA23, count=1]",0xFF0008B0,3,index=0|form_id=0x00073F30|magnitude=10|duration=12|area=0|base_cost=500|flags=0x00400C03,selection=1|form_id=0x0006ABCB|name=C;selection=2|form_id=0x0004DA23|name=I
AP,"Dragon's Tongue, Fly Amanita",438,51,0,3,0,0,0,0,0,0,"{""AlchemyIngredientInitMultiplier"":""5"",""AlchemySkillFactor"":""2"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""0"",""DamageMagickaDuration"":""0"",""DamageStaminaDuration"":""0"",""DisableAllPotionHandling"":""0"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""0"",""RestoreHealthDuration"":""0"",""RestoreMagickaDuration"":""0"",""RestoreStaminaDuration"":""0""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":false},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":2.0,""durationThreshold"":10.0,""enabled"":true,""magnitudeMult"":2.0,""magnitudeThreshold"":10.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect."",""Skyrim.esm|0x0003EB15"":{""magnitudeMult"":10.0,""magnitudeThreshold"":50.0},""Skyrim.esm|0x0003EB3D"":{""durationMult"":10.0,""durationThreshold"":20.0}}}}",1.60000002,"Dragon's Tongue [form=0x000889A2, count=1]; Fly Amanita [form=0x0004DA00, count=1]",0xFF00090B,0,index=0|form_id=0x0003EB1A|magnitude=48|duration=60|area=0|base_cost=0.5|flags=0x00200802;index=1|form_id=0x0003EAEA|magnitude=36|duration=60|area=0|base_cost=0.5|flags=0x00201002,selection=1|form_id=0x000889A2|name=D;selection=2|form_id=0x0004DA00|name=F
AP,"Blisterwort, Wheat",21,100,0,0,0,0,0,0,0,0,"{""AlchemyIngredientInitMultiplier"":""4"",""AlchemySkillFactor"":""1.5"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""0"",""DamageMagickaDuration"":""0"",""DamageStaminaDuration"":""0"",""DisableAllPotionHandling"":""0"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""0"",""RestoreHealthDuration"":""0"",""RestoreMagickaDuration"":""0"",""RestoreStaminaDuration"":""0""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":true},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":5.0,""durationThreshold"":15.0,""enabled"":true,""magnitudeMult"":5.0,""magnitudeThreshold"":25.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect.""}}}",1,"Blisterwort [form=0x0004DA25, count=1]; Wheat [form=0x0004B0BA, count=1]",0xFF000881,0,index=0|form_id=0x0003EB15|magnitude=30|duration=0|area=0|base_cost=0.5|flags=0x00200A00,selection=1|form_id=0x0004DA25|name=B;selection=2|form_id=0x0004B0BA|name=W
AP,"Deathbell, River Betty",374,100,0,0,0,0,0,0,0,0,"{""AlchemyIngredientInitMultiplier"":""4"",""AlchemySkillFactor"":""1.5"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""0"",""DamageMagickaDuration"":""0"",""DamageStaminaDuration"":""0"",""DisableAllPotionHandling"":""0"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""0"",""RestoreHealthDuration"":""0"",""RestoreMagickaDuration"":""0"",""RestoreStaminaDuration"":""0""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":true},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":5.0,""durationThreshold"":15.0,""enabled"":true,""magnitudeMult"":5.0,""magnitudeThreshold"":25.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect.""}}}",1,"Deathbell [form=0x000516C8, count=1]; River Betty [form=0x00106E1A, count=1]",0xFF00088D,3,index=0|form_id=0x00073F25|magnitude=50|duration=30|area=0|base_cost=1|flags=0x00401807;index=1|form_id=0x0003EB42|magnitude=30|duration=0|area=0|base_cost=3|flags=0x00200805,selection=1|form_id=0x000516C8|name=D;selection=2|form_id=0x00106E1A|name=R
