ingredient_name,form_id,effect_name,effect_form_id,base_cost,magnitude,duration,power_affects_magnitude,power_affects_duration,no_magnitude,no_duration,beneficial,harmful,hostile,duration_based,keyword_editor_ids,source_effect_form_id,resolved_effect_form_id,caco_duration_index,resolved_magnitude,resolved_duration,resolved_peak_value_modifier,effect_index,effect_cost,source_effect_editor_id,source_base_cost,source_flags,source_archetype,source_keyword_form_ids,resolved_effect_name,resolved_effect_editor_id,resolved_base_cost,resolved_flags,resolved_archetype,resolved_keyword_form_ids,caco_settings,alchemy_plus_settings
Abecean Longfin,0x106E1B,Frost Aversion,0x73F2E,0.32,4.9,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFrost,0x73F2E,0x73F2E,0,4.9,0,1,0,6.15459,,0.32,2101255,34,0x42509;0x74F4F,Frost Aversion,,0.32,2101255,34,0x42509;0x74F4F,"{""AlchemyIngredientInitMultiplier"":""3"",""AlchemySkillFactor"":""3"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""2"",""DamageMagickaDuration"":""2"",""DamageStaminaDuration"":""2"",""DisableAllPotionHandling"":""1"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""1"",""RestoreHealthDuration"":""2"",""RestoreMagickaDuration"":""2"",""RestoreStaminaDuration"":""2""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":true},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":5.0,""durationThreshold"":15.0,""enabled"":true,""magnitudeMult"":5.0,""magnitudeThreshold"":25.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect.""}}}"
Abecean Longfin,0x106E1B,Fortify Light Armor,0x3EB1F,0.51,1.63,60,1,0,0,0,1,0,0,0,MagicAlchFortifyLightArmor;MagicAlchBeneficial,0x3EB1F,0x3EB1F,0,1.63,0,1,1,6.26532,,0.51,2099202,34,0x65A24;0xF8A4E,Fortify Light Armor,,0.51,2099202,34,0x65A24;0xF8A4E,"{""AlchemyIngredientInitMultiplier"":""3"",""AlchemySkillFactor"":""3"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""2"",""DamageMagickaDuration"":""2"",""DamageStaminaDuration"":""2"",""DisableAllPotionHandling"":""1"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""1"",""RestoreHealthDuration"":""2"",""RestoreMagickaDuration"":""2"",""RestoreStaminaDuration"":""2""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":true},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":5.0,""durationThreshold"":15.0,""enabled"":true,""magnitudeMult"":5.0,""magnitudeThreshold"":25.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect.""}}}"
Abecean Longfin,0x106E1B,Fortify Restoration,0x3EB28,0.235,3.1,60,1,0,0,0,1,0,0,0,MagicAlchFortifyRestoration;MagicAlchBeneficial,0x3EB28,0x3EB28,0,3.1,0,1,2,5.85507,,0.235,2099202,34,0x65A2D;0xF8A4E,Fortify Restoration,,0.235,2099202,34,0x65A2D;0xF8A4E,"{""AlchemyIngredientInitMultiplier"":""3"",""AlchemySkillFactor"":""3"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""2"",""DamageMagickaDuration"":""2"",""DamageStaminaDuration"":""2"",""DisableAllPotionHandling"":""1"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""1"",""RestoreHealthDuration"":""2"",""RestoreMagickaDuration"":""2"",""RestoreStaminaDuration"":""2""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":true},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":5.0,""durationThreshold"":15.0,""enabled"":true,""magnitudeMult"":5.0,""magnitudeThreshold"":25.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect.""}}}"
Abecean Longfin,0x106E1B,Poison Aversion,0x90042,0.39,2.68,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;USKPMagicAlchWeaknessPoison,0x90042,0x90042,0,2.68,0,1,3,3.8623,,0.39,2101255,34,0x42509;0x706EE3A,Poison Aversion,,0.39,2101255,34,0x42509;0x706EE3A,"{""AlchemyIngredientInitMultiplier"":""3"",""AlchemySkillFactor"":""3"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""2"",""DamageMagickaDuration"":""2"",""DamageStaminaDuration"":""2"",""DisableAllPotionHandling"":""1"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""1"",""RestoreHealthDuration"":""2"",""RestoreMagickaDuration"":""2"",""RestoreStaminaDuration"":""2""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":true},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":5.0,""durationThreshold"":15.0,""enabled"":true,""magnitudeMult"":5.0,""magnitudeThreshold"":25.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect.""}}}"
Akatosh Butterfly,0x833F5DE,Fortify Restoration,0x3EB28,0.235,3.1,60,1,0,0,0,1,0,0,0,MagicAlchFortifyRestoration;MagicAlchBeneficial,0x3EB28,0x3EB28,0,3.1,0,1,0,5.85507,,0.235,2099202,34,0x65A2D;0xF8A4E,Fortify Restoration,,0.235,2099202,34,0x65A2D;0xF8A4E,"{""AlchemyIngredientInitMultiplier"":""3"",""AlchemySkillFactor"":""3"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""2"",""DamageMagickaDuration"":""2"",""DamageStaminaDuration"":""2"",""DisableAllPotionHandling"":""1"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""1"",""RestoreHealthDuration"":""2"",""RestoreMagickaDuration"":""2"",""RestoreStaminaDuration"":""2""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":true},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":5.0,""durationThreshold"":15.0,""enabled"":true,""magnitudeMult"":5.0,""magnitudeThreshold"":25.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect.""}}}"
Akatosh Butterfly,0x833F5DE,Fortify One-handed,0x3EB19,0.325,2.8,60,1,0,0,0,1,0,0,0,MagicAlchFortifyOneHanded;MagicAlchBeneficial,0x3EB19,0x3EB19,0,2.8,0,1,1,7.23975,,0.325,2099202,34,0x65A1F;0xF8A4E,Fortify One-handed,,0.325,2099202,34,0x65A1F;0xF8A4E,"{""AlchemyIngredientInitMultiplier"":""3"",""AlchemySkillFactor"":""3"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""2"",""DamageMagickaDuration"":""2"",""DamageStaminaDuration"":""2"",""DisableAllPotionHandling"":""1"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""1"",""RestoreHealthDuration"":""2"",""RestoreMagickaDuration"":""2"",""RestoreStaminaDuration"":""2""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":true},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":5.0,""durationThreshold"":15.0,""enabled"":true,""magnitudeMult"":5.0,""magnitudeThreshold"":25.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect.""}}}"
Akatosh Butterfly,0x833F5DE,Frost Aversion,0x73F2E,0.32,3.56,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFrost,0x73F2E,0x73F2E,0,3.56,0,1,2,4.3309,,0.32,2101255,34,0x42509;0x74F4F,Frost Aversion,,0.32,2101255,34,0x42509;0x74F4F,"{""AlchemyIngredientInitMultiplier"":""3"",""AlchemySkillFactor"":""3"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""2"",""DamageMagickaDuration"":""2"",""DamageStaminaDuration"":""2"",""DisableAllPotionHandling"":""1"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""1"",""RestoreHealthDuration"":""2"",""RestoreMagickaDuration"":""2"",""RestoreStaminaDuration"":""2""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":true},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":5.0,""durationThreshold"":15.0,""enabled"":true,""magnitudeMult"":5.0,""magnitudeThreshold"":25.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect.""}}}"
Akatosh Butterfly,0x833F5DE,Fortify Destruction,0x3EB26,0.325,2.24,60,1,0,0,0,1,0,0,0,MagicAlchFortifyDestruction;MagicAlchBeneficial,0x3EB26,0x3EB26,0,2.24,0,1,3,5.66399,,0.325,2099202,34,0x65A2B;0xF8A4E,Fortify Destruction,,0.325,2099202,34,0x65A2B;0xF8A4E,"{""AlchemyIngredientInitMultiplier"":""3"",""AlchemySkillFactor"":""3"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""2"",""DamageMagickaDuration"":""2"",""DamageStaminaDuration"":""2"",""DisableAllPotionHandling"":""1"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""1"",""RestoreHealthDuration"":""2"",""RestoreMagickaDuration"":""2"",""RestoreStaminaDuration"":""2""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":true},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":5.0,""durationThreshold"":15.0,""enabled"":true,""magnitudeMult"":5.0,""magnitudeThreshold"":25.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect.""}}}"
Alkanet Flower,0x8316D7D,Resist Poison,0x90041,0.157,3.81,60,1,0,0,0,1,0,0,0,MagicAlchResistPoison;MagicAlchBeneficial,0x90041,0x90041,0,3.81,0,1,0,4.90776,,0.157,2101250,34,0x10EB5F;0xF8A4E,Resist Poison,,0.157,2101250,34,0x10EB5F;0xF8A4E,"{""AlchemyIngredientInitMultiplier"":""3"",""AlchemySkillFactor"":""3"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""2"",""DamageMagickaDuration"":""2"",""DamageStaminaDuration"":""2"",""DisableAllPotionHandling"":""1"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""1"",""RestoreHealthDuration"":""2"",""RestoreMagickaDuration"":""2"",""RestoreStaminaDuration"":""2""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":true},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":5.0,""durationThreshold"":15.0,""enabled"":true,""magnitudeMult"":5.0,""magnitudeThreshold"":25.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect.""}}}"
Alkanet Flower,0x8316D7D,Magicka,0x3EB17,4.7,10.18,10,1,0,0,0,1,0,0,0,MagicAlchRestoreMagicka;MagicAlchBeneficial,0x3EB17,0x81B42BE,0,10.18,0,1,1,4.79314,,4.7,2099200,34,0x42508;0xF8A4E,Magicka,,4.7,2131968,34,0x42508;0xF8A4E,"{""AlchemyIngredientInitMultiplier"":""3"",""AlchemySkillFactor"":""3"",""AlchemyXPMultiplier"":""1"",""DamageHealthDuration"":""2"",""DamageMagickaDuration"":""2"",""DamageStaminaDuration"":""2"",""DisableAllPotionHandling"":""1"",""ImpurePotionProcessing"":""0"",""RestoreEffectsDoNotStack"":""1"",""RestoreHealthDuration"":""2"",""RestoreMagickaDuration"":""2"",""RestoreStaminaDuration"":""2""}","{""copyExemplars"":{""$comment"":""Swap models and names of crafted potions to the nearest exemplar."",""enabled"":true,""exemplars"":[""Skyrim.esm|E3E9A"",""Skyrim.esm|65A72"",""Skyrim.esm|65A3E"",""Skyrim.esm|65A3F"",""Skyrim.esm|65A5A"",""Skyrim.esm|74A29"",""Skyrim.esm|74A23"",""Skyrim.esm|74A2D"",""Skyrim.esm|74A27"",""Skyrim.esm|74A21""]},""impureCostFix"":{""$comment"":""Impurities in mixtures subtract from the cost instead of adding to it."",""enabled"":true},""knownFailureFix"":{""$comment"":""Display known failures in UI between ingredients with all effects known."",""enabled"":true},""mixtureNames"":{""$comment"":""Modify names to reflect additional effects/impurities."",""enabled"":true},""roundedPotency"":{""$comment"":""Round effect potency to a multiple above a threshold."",""durationMult"":5.0,""durationThreshold"":15.0,""enabled"":true,""magnitudeMult"":5.0,""magnitudeThreshold"":25.0,""overrides"":{""$comment"":""Define setting overrides per alchemy effect.""}}}"
