ingredient_name,form_id,effect_name,effect_form_id,base_cost,magnitude,duration,power_affects_magnitude,power_affects_duration,no_magnitude,no_duration,beneficial,harmful,hostile,duration_based,keyword_editor_ids,source_effect_form_id,resolved_effect_form_id,caco_duration_index,resolved_magnitude,resolved_duration,resolved_peak_value_modifier,effect_index,effect_cost,source_effect_editor_id,source_base_cost,source_flags,source_archetype,source_keyword_form_ids,resolved_effect_name,resolved_effect_editor_id,resolved_base_cost,resolved_flags,resolved_archetype,resolved_keyword_form_ids,caco_settings,alchemy_plus_settings
Abecean Longfin,0x106E1B,Weakness to Frost,0x73F2E,0.5,3,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;MagicAlchWeaknessFrost,0x73F2E,0x73F2E,,3,0,1,0,5.60579,,0.5,2101255,34,0x42509;0x74F4F,Weakness to Frost,,0.5,2101255,34,0x42509;0x74F4F,,
Abecean Longfin,0x106E1B,Fortify Sneak,0x3EB22,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifySneak;MagicAlchBeneficial,0x3EB22,0x3EB22,,4,0,1,1,16.4893,,0.5,2099202,34,0x65A27;0xF8A4E,Fortify Sneak,,0.5,2099202,34,0x65A27;0xF8A4E,,
Abecean Longfin,0x106E1B,Weakness to Poison,0x90042,1,2,30,1,0,0,0,0,1,1,0,MagicAlchHarmful;USKPMagicAlchWeaknessPoison,0x90042,0x90042,,2,0,1,2,7.17739,,1,2101255,34,0x42509;0x706EE3A,Weakness to Poison,,1,2101255,34,0x42509;0x706EE3A,,
Abecean Longfin,0x106E1B,Fortify Restoration,0x3EB28,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyRestoration;MagicAlchBeneficial,0x3EB28,0x3EB28,,4,0,1,3,16.4893,,0.5,2099202,34,0x65A2D;0xF8A4E,Fortify Restoration,,0.5,2099202,34,0x65A2D;0xF8A4E,,
Alocasia Fruit,0xFE004D62,Regenerate Stamina,0x3EB08,0.1,6,300,1,0,0,0,1,0,0,0,MagicAlchFortifyStaminaRate;MagicAlchBeneficial,0x3EB08,0x3EB08,,6,0,1,0,30.2552,,0.1,2099202,34,0x65A35;0xF8A4E,Regenerate Stamina,,0.1,2099202,34,0x65A35;0xF8A4E,,
Alocasia Fruit,0xFE004D62,Light,0xFE004846,0.5,0,60,0,1,0,0,1,0,0,1,WISpellColorful;MagicAlchBeneficial,0xFE004846,0xFE004846,,0,60,0,1,3.58869,,0.5,4198400,12,0xA9B1E;0xF8A4E,Light,,0.5,4198400,12,0xA9B1E;0xF8A4E,,
Alocasia Fruit,0xFE004D62,Ravage Magicka,0x73F27,1,3,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x73F27,0x73F27,,3,10,0,2,3.34837,,1,2099207,0,0x42509,Ravage Magicka,,1,2099207,0,0x42509,,
Alocasia Fruit,0xFE004D62,Regenerate Health,0x3EB06,0.1,6,300,1,0,0,0,1,0,0,0,MagicAlchFortifyHealRate;MagicAlchBeneficial,0x3EB06,0x3EB06,,6,0,1,3,30.2552,,0.1,2099202,34,0x65A30;0xF8A4E,Regenerate Health,,0.1,2099202,34,0x65A30;0xF8A4E,,
Aloe Vera Leaves,0xFE0060D0,Restore Health,0x3EB15,0.5,5,0,1,0,0,1,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15,,5,0,0,0,2.93655,,0.5,2099712,0,0x42503;0xF8A4E,Restore Health,,0.5,2099712,0,0x42503;0xF8A4E,,
Aloe Vera Leaves,0xFE0060D0,Restore Stamina,0x3EB16,0.6,5,0,1,0,0,1,1,0,0,0,MagicAlchRestoreStamina;MagicAlchBeneficial,0x3EB16,0x3EB16,,5,0,0,1,3.52386,,0.6,2099712,0,0x42504;0xF8A4E,Restore Stamina,,0.6,2099712,0,0x42504;0xF8A4E,,
Aloe Vera Leaves,0xFE0060D0,Damage Magicka,0x3A2B6,2.2,5,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2B6,0x3A2B6,,5,0,0,2,12.9208,,2.2,2099205,0,0x42509,Damage Magicka,,2.2,2099205,0,0x42509,,
Aloe Vera Leaves,0xFE0060D0,Invisibility,0x3EB3D,100,0,2,0,1,1,0,1,0,0,1,MagicInvisibility;MagicAlchBeneficial;MagicAlchDurationBased,0x3EB3D,0x3EB3D,,0,2,0,3,17.0268,,100,4201474,11,0x1EA6F;0xF8A4E;0xF8A4F,Invisibility,,100,4201474,11,0x1EA6F;0xF8A4E;0xF8A4F,,
Ambrosia,0xFE004836,Restore Health,0x3EB15,0.5,6,0,1,0,0,1,1,0,0,0,MagicAlchRestoreHealth;MagicAlchBeneficial,0x3EB15,0x3EB15,,6,0,0,0,3.58869,,0.5,2099712,0,0x42503;0xF8A4E,Restore Health,,0.5,2099712,0,0x42503;0xF8A4E,,
Ambrosia,0xFE004836,Regenerate Health,0x3EB06,0.1,6,300,1,0,0,0,1,0,0,0,MagicAlchFortifyHealRate;MagicAlchBeneficial,0x3EB06,0x3EB06,,6,0,1,1,30.2552,,0.1,2099202,34,0x65A30;0xF8A4E,Regenerate Health,,0.1,2099202,34,0x65A30;0xF8A4E,,
Ambrosia,0xFE004836,Fortify Health,0x3EAF3,0.35,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyHealth;MagicAlchBeneficial,0x3EAF3,0x3EAF3,,5,0,1,2,14.7537,,0.35,2099202,34,0x65A31;0xF8A4E,Fortify Health,,0.35,2099202,34,0x65A31;0xF8A4E,,
Ambrosia,0xFE004836,Cure Poison,0x109ADD,0.2,3,0,1,0,0,1,1,0,0,0,MagicAlchBeneficial,0x109ADD,0x109ADD,,3,0,0,3,0.669674,,0.2,2103808,29,0xF8A4E,Cure Poison,,0.2,2103808,29,0xF8A4E,,
Ancestor Moth Wing,0x20059BA,Damage Stamina,0x3A2C6,1.8,3,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2C6,0x3A2C6,,3,0,0,0,6.02707,,1.8,2099205,0,0x42509,Damage Stamina,,1.8,2099205,0,0x42509,,
Ancestor Moth Wing,0x20059BA,Fortify Conjuration,0x3EB25,0.25,5,60,1,0,0,0,1,0,0,0,MagicAlchFortifyConjuration;MagicAlchBeneficial,0x3EB25,0x3EB25,,5,0,1,1,10.5384,,0.25,2099202,34,0x65A2A;0xF8A4E,Fortify Conjuration,,0.25,2099202,34,0x65A2A;0xF8A4E,,
Ancestor Moth Wing,0x20059BA,Damage Magicka Regen,0x73F2B,0.5,100,5,0,1,0,0,0,1,1,1,MagicAlchHarmful,0x73F2B,0x73F2B,,100,5,0,2,36.9689,,0.5,4196359,0,0x42509,Damage Magicka Regen,,0.5,4196359,0,0x42509,,
Ancestor Moth Wing,0x20059BA,Fortify Enchanting,0x3EB29,0.6,1,30,1,0,0,0,1,0,0,0,MagicAlchFortifyEnchanting;MagicAlchBeneficial,0x3EB29,0x3EB29,,1,0,1,3,2.00902,,0.6,2099202,34,0x65A2E;0xF8A4E,Fortify Enchanting,,0.6,2099202,34,0x65A2E;0xF8A4E,,
Angelfish,0x50008EB,Regenerate Health,0x3EB06,0.1,5,300,1,0,0,0,1,0,0,0,MagicAlchFortifyHealRate;MagicAlchBeneficial,0x3EB06,0x3EB06,,5,0,1,0,24.7571,,0.1,2099202,34,0x65A30;0xF8A4E,Regenerate Health,,0.1,2099202,34,0x65A30;0xF8A4E,,
Angelfish,0x50008EB,Resist Fire,0x3EAEA,0.5,3,60,1,0,0,0,1,0,0,0,MagicAlchResistFire;MagicAlchBeneficial,0x3EAEA,0x3EAEA,,3,0,1,1,12.0163,,0.5,2101250,34,0x65A37;0xF8A4E,Resist Fire,,0.5,2101250,34,0x65A37;0xF8A4E,,
Angelfish,0x50008EB,Fortify Archery,0x3EB1B,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyMarksman;MagicAlchBeneficial,0x3EB1B,0x3EB1B,,4,0,1,2,16.4893,,0.5,2099202,34,0x65A21;0xF8A4E,Fortify Archery,,0.5,2099202,34,0x65A21;0xF8A4E,,
Angelfish,0x50008EB,Waterbreathing,0x3AC2D,30,0,5,0,1,1,0,1,0,0,1,MagicAlchBeneficial;MagicAlchDurationBased,0x3AC2D,0x3AC2D,,0,0,1,3,13.9955,,30,4197378,34,0xF8A4E;0xF8A4F,Waterbreathing,,30,4197378,34,0xF8A4E;0xF8A4F,,
Angler Larvae,0x50008F0,Lingering Damage Health,0x10AA4A,12,1,10,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x10AA4A,0x10AA4A,,1,10,0,0,12,,12,2099205,0,0x42509,Lingering Damage Health,,12,2099205,0,0x42509,,
Angler Larvae,0x50008F0,Regenerate Stamina,0x3EB08,0.1,5,300,1,0,0,0,1,0,0,0,MagicAlchFortifyStaminaRate;MagicAlchBeneficial,0x3EB08,0x3EB08,,5,0,1,1,24.7571,,0.1,2099202,34,0x65A35;0xF8A4E,Regenerate Stamina,,0.1,2099202,34,0x65A35;0xF8A4E,,
Angler Larvae,0x50008F0,Waterbreathing,0x3AC2D,30,0,5,0,1,1,0,1,0,0,1,MagicAlchBeneficial;MagicAlchDurationBased,0x3AC2D,0x3AC2D,,0,0,1,2,13.9955,,30,4197378,34,0xF8A4E;0xF8A4F,Waterbreathing,,30,4197378,34,0xF8A4E;0xF8A4F,,
Angler Larvae,0x50008F0,Fortify Two-handed,0x3EB1A,0.5,4,60,1,0,0,0,1,0,0,0,MagicAlchFortifyTwoHanded;MagicAlchBeneficial,0x3EB1A,0x3EB1A,,4,0,1,3,16.4893,,0.5,2099202,34,0x65A20;0xF8A4E,Fortify Two-handed,,0.5,2099202,34,0x65A20;0xF8A4E,,
Ash Creep Cluster,0x401CD74,Damage Stamina,0x3A2C6,1.8,3,0,1,0,0,0,0,1,1,0,MagicAlchHarmful,0x3A2C6,0x3A2C6,,3,0,0,0,6.02707,,1.8,2099205,0,0x42509,Damage Stamina,,1.8,2099205,0,0x42509,,
Ash Creep Cluster,0x401CD74,Invisibility,0x3EB3D,100,0,4,0,1,1,0,1,0,0,1,MagicInvisibility;MagicAlchBeneficial;MagicAlchDurationBased,0x3EB3D,0x3EB3D,,0,4,0,1,36.4977,,100,4201474,11,0x1EA6F;0xF8A4E;0xF8A4F,Invisibility,,100,4201474,11,0x1EA6F;0xF8A4E;0xF8A4F,,
Ash Creep Cluster,0x401CD74,Resist Fire,0x3EAEA,0.5,3,60,1,0,0,0,1,0,0,0,MagicAlchResistFire;MagicAlchBeneficial,0x3EAEA,0x3EAEA,,3,0,1,2,12.0163,,0.5,2101250,34,0x65A37;0xF8A4E,Resist Fire,,0.5,2101250,34,0x65A37;0xF8A4E,,
